isbn,title,authors,publishers,publish_date,number_of_pages,identifiers_goodreads,description,first_sentence,last_modified
9780060512743,The  lathe of heaven,"[""Ursula K. Le Guin""]","[""Perennial Classics""]",2003,175.0,"[""59924""]",,,
9780060512750,The Dispossessed,"[""Ursula K. Le Guin""]","[""Harper Perennial""]","August 19, 2003",400.0,,,,
9780060551018,,,,,,,,,
9780060553562,Going out with peacocks and other poems,"[""Ursula K. Le Guin""]","[""HarperPerennial""]",1994,82.0,"[""6451851"", ""429953""]",,,
9780060760298,Four ways to forgiveness,"[""Ursula K. Le Guin""]","[""Perennial""]",2004,320.0,"[""92605""]",,,
9780060763435,Orsinian tales,"[""Ursula K. Le Guin""]","[""Perennial""]",2004,216.0,"[""92623""]",,,
9780060763510,A Fisherman of the Inland Sea,"[""Ursula K. Le Guin""]","[""Perennial""]",2005,,"[""68022""]",,,
9780060771393,Dispossessed,"[""Ursula K. Le Guin""]","[""HarperCollins Publishers""]",2004,,,,,
9780060771577,The Birthday of the World,"[""Ursula K. Le Guin""]","[""HarperCollins""]",2002,,,,,
9780060914332,Orsinian tales,"[""Ursula K. Le Guin""]","[""Harper & Row""]",1987,179.0,"[""937408""]",,,
9780060914349,The  wind's twelve quarters,"[""Ursula K. Le Guin""]","[""Harper & Row""]",1987,303.0,"[""819680""]",,,
9780060914479,The  compass rose,"[""Ursula K. Le Guin""]","[""Perennial""]",2005,,"[""894498""]",,,
9780060923297,Searoad,"[""Ursula K. Le Guin""]","[""Harper Perennial""]",October 1992,208.0,"[""1598016""]",,,
9780060924126,The Language of the Night,"[""Ursula K. Le Guin""]","[""Perennial""]",June 1993,256.0,"[""477298""]",,,
9780060928032,Unlocking the Air,"[""Ursula K. Le Guin""]","[""Harper Perennial""]","January 15, 1997",207.0,"[""92600""]",,,
9780060950576,Going out with peacocks and other poems,"[""Ursula K. Le Guin""]","[""HarperPerennial""]",1994,82.0,"[""6451851"", ""429953""]",,,
9780060960230,Connecting,"[""Tom Myers""]","[""Harper & Row""]",1987,286.0,"[""2647279"", ""1342246""]",,,
9780060962272,Wild oats and fireweed,"[""Ursula K. Le Guin""]","[""Harper & Row""]",1987,90.0,"[""3939568"", ""429954""]",,,
9780283984259,Mind of my mind,"[""Octavia E. Butler""]","[""Sidgwick and Jackson""]",1978,169.0,"[""1358519""]",,,
9780283984655,Survivor,"[""Octavia E. Butler""]","[""Sidgwick & Jackson Ltd""]","Aug 27, 1978",192.0,,,,
9780283984976,Science Fiction Special: No. 31,,"[""Sidg. & J""]","Aug 30, 1979",582.0,,,,
9780283985102,Science Fiction Special: No. 32,"[""Octavia E. Butler""]","[""Sidg. & J""]","Mar 12, 1981",650.0,,,,
9780283985928,Wild seed,"[""Octavia E. Butler""]","[""Sidgwick and Jackson""]",1980,248.0,"[""256916""]",,,
9780283990274,Science fiction special 44,"[""Octavia E. Butler"", ""Poul Anderson"", ""Norman Spinrad""]","[""Sidgwick & Jackson""]",1983,853.0,,,,
9780312143213,Clay's ark,"[""Octavia E. Butler"", ""Neal Ghant""]","[""St. Martin's Press""]",1984,201.0,"[""1022044""]",,,
9780318613833,,,,,,,,,
